date,weekday,month,n,total_delay,avg_dep_delay,var,std,sme,day
2017-11-01,3,11,15342,23697,1.5445834962847087,0.0013916785525769427,0.03730520811598486,3.0118162900900637e-4,1
2017-11-02,4,11,15821,31750,2.0068263700145375,0.001093041093389086,0.033061171990555416,2.628459439053376e-4,2
2017-11-03,5,11,15686,138422,8.82455692974627,4.5082132718456255e-4,0.021232553477727605,1.6952982794883248e-4,3
2017-11-04,6,11,12514,29002,2.317564327952693,0.001183087943206938,0.034396045458845094,3.07475445148489e-4,4
2017-11-05,7,11,14871,201592,13.55604868536077,0.0036731213795193132,0.06060628168366142,4.96989888831947e-4,5
2017-11-06,1,11,15678,97767,6.23593570608496,3.18133754618118e-7,5.640334694130464e-4,4.504634363061329e-6,6
2017-11-07,2,11,15086,45237,2.9986079809094526,6.647232302766443e-4,0.025782227023215903,2.099101198217839e-4,7
2017-11-08,3,11,15560,52539,3.376542416452442,4.998223689497883e-4,0.02235670747113242,1.792268401085117e-4,8
2017-11-09,4,11,16093,91454,5.682843472317156,1.4464420993186568e-5,0.00380321193114275,2.9980027106426906e-5,9
2017-11-10,5,11,16059,137428,8.557693505199577,3.564038255286361e-4,0.018878660586191916,1.489744975813371e-4,10
2017-11-11,6,11,12497,11717,0.9375850204048972,0.002186855235712853,0.04676382400652082,4.183185587049682e-4,11
2017-11-12,7,11,15333,38144,2.4877062544837933,8.820703304299411e-4,0.029699668860610907,2.3984907024438083e-4,12
2017-11-13,1,11,16005,90642,5.663355201499531,1.5742622698637712e-5,0.003967697405125259,3.1362502158160156e-5,13
2017-11-14,2,11,15408,6735,0.43711059190031154,0.0021295620410085136,0.04614717803949136,3.717680073105252e-4,14
2017-11-15,3,11,15651,34030,2.174301961536004,0.0010177088693741423,0.03190154963907149,2.5500032502746666e-4,15
2017-11-16,4,11,16092,114801,7.134041759880686,5.831700557000348e-5,0.007636557180431734,6.0199460063373225e-5,16
2017-11-17,5,11,16281,99559,6.115042073582703,1.552159193106162e-7,3.9397451606749414e-4,3.087646640757999e-6,17
2017-11-18,6,11,13319,67938,5.100833395900593,8.507506584029508e-5,0.009223614575658238,7.992181489903833e-5,18
2017-11-19,7,11,14880,73561,4.943615591397849,1.0030525762068842e-4,0.010015251251001566,8.210325652842977e-5,19
2017-11-20,1,11,15078,50744,3.3654330813105187,5.199179089493951e-4,0.022801708465582028,1.8569299424528224e-4,20
2017-11-21,2,11,15688,43545,2.77568842427333,7.323781434340075e-4,0.027062485906398318,2.1606473892577476e-4,21
2017-11-22,3,11,16274,32616,2.0041784441440336,0.001063969084038388,0.03261853896235066,2.556921226740107e-4,22
2017-11-23,4,11,9830,-3093,-0.31464903357070195,0.004271606879519914,0.06535753116145004,6.592025515881572e-4,23
2017-11-24,5,11,12106,-18263,-1.5085907814306956,0.0048644295922555605,0.06974546287935553,6.338925185834775e-4,24
2017-11-25,6,11,15499,7438,0.4799019291567198,0.0020855466949865065,0.045667786184426615,3.6682431894858794e-4,25
2017-11-26,7,11,16776,151733,9.044647114926084,4.941923238266252e-4,0.02223043687889703,1.716341837377921e-4,26
2017-11-27,1,11,16538,57417,3.4718224694642643,4.3867977461569405e-4,0.020944683683829988,1.6286670571269925e-4,27
2017-11-28,2,11,15123,12977,0.8580969384381406,0.0018624963449648138,0.043156648907958714,3.50936660061016e-4,28
2017-11-29,3,11,15160,-3942,-0.2600263852242744,0.002723283244618714,0.05218508641957695,4.238349890346411e-4,29
2017-11-30,4,11,15628,2702,0.17289480419759407,0.002297738957659511,0.04793473644091006,3.834410829500442e-4,30
