weekday,dep_time,n,total_dep_delay,avg_dep_delay,var,std,sme
5,4,474,-1695,-3.5759493670886076,0.20019445984732503,0.44743095539683553,0.020551184421159285
5,5,7881,-29930,-3.7977414033752064,0.012595157224430569,0.11222814809320596,0.0012641864550077529
5,6,13504,-29319,-2.1711344786729856,0.005146352243860806,0.07173808084874314,6.173316444915491e-4
5,7,12534,-10145,-0.8093984362533908,0.003881170124995955,0.062299037913887204,5.564632587198247e-4
5,8,12712,9476,0.7454373820012586,0.0023108119415511407,0.04807090535397831,4.2635892593924113e-4
5,9,11320,28015,2.47482332155477,0.001203154332509863,0.034686515139314054,3.2601490521078823e-4
5,10,12309,50921,4.136891705256317,3.3426672264608945e-4,0.018282962633175442,1.6479164377972017e-4
5,11,11877,64655,5.4437147427801635,4.384126224477079e-5,0.006621273460956796,6.0755856340888164e-5
5,12,12257,85182,6.9496614179652445,5.019204807998523e-5,0.0070846346468950135,6.399195312265254e-5
5,13,11394,93524,8.208179743724767,3.6627246094662755e-4,0.019138246025867355,1.7929328551727876e-4
5,14,11169,113562,10.167606768734892,0.001434180591574247,0.037870576858218666,3.583395756284358e-4
5,15,12178,121055,9.940466414846444,0.001170289907163399,0.03420950024720325,0.00030999789508175004
5,16,11563,130349,11.272939548560062,0.0022561496738694176,0.04749894392372758,4.417216552814295e-4
5,17,12964,134870,10.403424868867633,0.0013854983244228542,0.03722228263316013,3.269139787354783e-4
5,18,11296,155737,13.786915722379604,0.005142425864117541,0.07171070954967285,6.747170391146167e-4
5,19,11228,150046,13.363555397221232,0.0046147762118650465,0.06793214417243906,6.410975551015621e-4
5,20,10001,157148,15.713228677132287,0.009115359658687339,0.0954743926856167,9.546961932398155e-4
5,21,7238,146707,20.268996960486323,0.027481891143332025,0.1657766302689617,0.0019485610544273874
5,22,5796,121803,21.015010351966875,0.03804581430344592,0.19505336270735227,0.0025620597486932344
5,23,2357,89905,38.14382689859991,0.43386737887799975,0.6586861004135428,0.013567464934263482
1,4,467,-2126,-4.552462526766595,0.24597578553984495,0.49595945957290194,0.022950266756547082
1,5,7807,-30378,-3.8911233508389906,0.012954001913910697,0.11381564880942645,0.0012881305750454567
1,6,13506,-28683,-2.1237227898711684,0.005087227791530346,0.07132480488252559,6.137298118178632e-4
1,7,12501,-9113,-0.7289816814654828,0.003802198706951861,0.06166197131905418,5.514993784502339e-4
1,8,12848,12871,1.0017901618929017,0.00207518355182852,0.045554182594230795,4.0189304846263935e-4
1,9,11374,35180,3.0930191665201336,8.298737078350113e-4,0.028807528665871555,2.701154283471741e-4
1,10,12391,55199,4.454765555645227,2.3613665598883553e-4,0.015366738625643228,1.3804749357563276e-4
1,11,12151,73436,6.043617809233808,1.2187875796666823e-6,0.001103987128397194,1.001516248103729e-5
1,12,12421,90124,7.255776507527575,9.573405815257369e-5,0.009784378271130654,8.779200217266583e-5
