"","date","carrier","flight_num","origin","dest","dest_state","sched_dep","dep","sched_arr","arr","cancelled","canc_code","distance","weekday","dep_delay","arr_delay"
"696",2017-12-04,"UA",1660,11292,14893,91,2017-12-04 15:23:00,2017-12-04 16:00:00,2017-12-04 17:00:00,2017-12-04 17:08:00,0,NA,909,"Monday",37,8
"697",2017-11-18,"EV",2845,11298,13158,74,2017-11-18 10:30:00,2017-11-18 10:27:00,2017-11-18 11:48:00,2017-11-18 11:46:00,0,NA,309,"Saturday",-3,-2
"698",2017-12-26,"AA",1630,14100,13495,72,2017-12-26 10:35:00,2017-12-26 10:32:00,2017-12-26 12:55:00,2017-12-26 12:46:00,0,NA,1089,"Tuesday",-3,-9
"699",2017-12-23,"WN",2369,12191,13851,73,2017-12-23 11:00:00,2017-12-23 11:12:00,2017-12-23 12:25:00,2017-12-23 12:47:00,0,NA,419,"Saturday",12,22
"700",2017-11-11,"WN",3670,11292,13796,91,2017-11-11 20:15:00,2017-11-11 20:29:00,2017-11-11 22:00:00,2017-11-11 22:08:00,0,NA,957,"Saturday",14,8
"701",2017-12-10,"VX",1874,12892,11259,74,2017-12-10 11:25:00,2017-12-10 11:15:00,2017-12-10 16:26:00,2017-12-10 16:11:00,0,NA,1246,"Sunday",-10,-15
"702",2017-11-15,"AA",1667,11292,12892,91,2017-11-15 14:20:00,2017-11-15 14:13:00,2017-11-15 15:56:00,2017-11-15 15:41:00,0,NA,862,"Wednesday",-7,-15
"703",2017-10-19,"EV",4251,12266,13158,74,2017-10-19 07:10:00,2017-10-19 07:04:00,2017-10-19 08:49:00,2017-10-19 08:26:00,0,NA,429,"Thursday",-6,-23
"704",2017-12-05,"DL",1766,10397,11721,43,2017-12-05 21:05:00,2017-12-05 21:03:00,2017-12-05 23:07:00,2017-12-05 22:54:00,0,NA,645,"Tuesday",-2,-13
"705",2017-12-10,"WN",4757,10140,13232,41,2017-12-10 17:30:00,2017-12-10 17:22:00,2017-12-10 21:10:00,2017-12-10 20:58:00,0,NA,1121,"Sunday",-8,-12
"706",2017-12-04,"UA",451,12889,14771,91,2017-12-04 19:10:00,2017-12-04 19:03:00,2017-12-04 20:48:00,2017-12-04 20:23:00,0,NA,414,"Monday",-7,-25
"707",2017-10-18,"WN",1617,10792,13232,41,2017-10-18 17:05:00,2017-10-18 17:04:00,2017-10-18 17:45:00,2017-10-18 17:28:00,0,NA,468,"Wednesday",-1,-17
"708",2017-10-27,"AS",728,14747,10994,37,2017-10-27 07:50:00,2017-10-27 08:42:00,2017-10-27 16:08:00,2017-10-27 16:48:00,0,NA,2415,"Friday",52,40
"709",2017-10-30,"B6",135,12478,14107,81,2017-10-30 20:15:00,2017-10-30 20:08:00,2017-10-30 23:08:00,2017-10-30 22:57:00,0,NA,2153,"Monday",-7,-11
"710",2017-11-21,"DL",1547,10397,11292,82,2017-11-21 09:44:00,2017-11-21 09:44:00,2017-11-21 11:09:00,2017-11-21 10:54:00,0,NA,1199,"Tuesday",0,-15
"711",2017-12-20,"AA",2044,13495,11057,36,2017-12-20 16:08:00,2017-12-20 16:05:00,2017-12-20 19:05:00,2017-12-20 18:48:00,0,NA,651,"Wednesday",-3,-17
"712",2017-12-20,"NK",440,11697,11042,44,2017-12-20 07:00:00,2017-12-20 06:56:00,2017-12-20 09:48:00,2017-12-20 09:40:00,0,NA,1062,"Wednesday",-4,-8
"713",2017-11-04,"B6",1586,13204,10792,22,2017-11-04 11:57:00,2017-11-04 11:48:00,2017-11-04 14:30:00,2017-11-04 14:17:00,0,NA,1011,"Saturday",-9,-13
"714",2017-12-07,"AS",519,14908,14747,93,2017-12-07 06:50:00,2017-12-07 06:44:00,2017-12-07 10:00:00,2017-12-07 09:32:00,0,NA,978,"Thursday",-6,-28
"715",2017-12-13,"EV",2840,13290,11298,74,2017-12-13 06:20:00,2017-12-13 06:10:00,2017-12-13 08:08:00,2017-12-13 07:26:00,0,NA,431,"Wednesday",-10,-42
"716",2017-12-06,"DL",98,11278,11433,43,2017-12-06 15:00:00,2017-12-06 16:22:00,2017-12-06 16:46:00,2017-12-06 17:51:00,0,NA,405,"Wednesday",82,65
"717",2017-11-04,"NK",935,10821,13495,72,2017-11-04 17:52:00,2017-11-04 18:08:00,2017-11-04 19:49:00,2017-11-04 19:39:00,0,NA,998,"Saturday",16,-10
"718",2017-10-27,"WN",1884,10599,13232,41,2017-10-27 06:15:00,2017-10-27 06:12:00,2017-10-27 08:00:00,2017-10-27 07:46:00,0,NA,570,"Friday",-3,-14
"719",2017-10-06,"WN",973,10821,10792,22,2017-10-06 12:40:00,2017-10-06 12:39:00,2017-10-06 13:45:00,2017-10-06 13:39:00,0,NA,281,"Friday",-1,-6
"720",2017-12-01,"WN",6323,14893,13891,91,2017-12-01 18:45:00,2017-12-01 18:41:00,2017-12-01 20:00:00,2017-12-01 19:49:00,0,NA,390,"Friday",-4,-11
"721",2017-10-18,"DL",1436,11433,10821,35,2017-10-18 22:00:00,2017-10-18 21:58:00,2017-10-18 23:36:00,2017-10-18 23:30:00,0,NA,409,"Wednesday",-2,-6
"722",2017-11-27,"WN",6657,13204,15016,64,2017-11-27 11:25:00,2017-11-27 11:29:00,2017-11-27 12:55:00,2017-11-27 12:59:00,0,NA,882,"Monday",4,4
"723",2017-10-13,"DL",1335,13198,13487,63,2017-10-13 15:20:00,2017-10-13 15:15:00,2017-10-13 16:49:00,2017-10-13 16:31:00,0,NA,393,"Friday",-5,-18
"724",2017-11-03,"EV",4122,11618,11278,38,2017-11-03 15:00:00,2017-11-03 14:55:00,2017-11-03 16:22:00,2017-11-03 16:05:00,0,NA,199,"Friday",-5,-17
"725",2017-10-29,"AA",1783,14057,14107,81,2017-10-29 08:35:00,2017-10-29 11:35:00,2017-10-29 11:04:00,2017-10-29 13:57:00,0,NA,1009,"Sunday",180,173
"726",2017-12-14,"B6",352,13204,10721,13,2017-12-14 14:11:00,2017-12-14 14:37:00,2017-12-14 17:04:00,2017-12-14 17:24:00,0,NA,1121,"Thursday",26,20
"727",2017-11-03,"WN",252,10423,13232,41,2017-11-03 05:45:00,2017-11-03 05:44:00,2017-11-03 08:15:00,2017-11-03 08:10:00,0,NA,972,"Friday",-1,-5
"728",2017-11-09,"DL",1495,10397,11953,33,2017-11-09 19:59:00,2017-11-09 20:30:00,2017-11-09 21:15:00,2017-11-09 21:37:00,0,NA,300,"Thursday",31,22
"729",2017-11-09,"DL",710,14098,10397,34,2017-11-09 17:19:00,2017-11-09 17:16:00,2017-11-09 19:15:00,2017-11-09 19:04:00,0,NA,508,"Thursday",-3,-11
"730",2017-11-25,"NK",719,11298,11292,82,2017-11-25 16:47:00,2017-11-25 16:42:00,2017-11-25 17:53:00,2017-11-25 17:48:00,0,NA,641,"Saturday",-5,-5
"731",2017-11-06,"DL",28,12266,10397,34,2017-11-06 11:11:00,2017-11-06 11:04:00,2017-11-06 14:12:00,2017-11-06 14:02:00,0,NA,689,"Monday",-7,-10
"732",2017-12-28,"B6",940,14986,10721,13,2017-12-28 15:59:00,2017-12-28 16:11:00,2017-12-28 19:00:00,2017-12-28 19:04:00,0,NA,1220,"Thursday",12,4
"733",2017-12-29,"AA",361,12953,13930,41,2017-12-29 18:30:00,2017-12-29 19:07:00,2017-12-29 20:22:00,2017-12-29 21:25:00,0,NA,733,"Friday",37,63
"734",2017-12-23,"B6",2504,14843,12478,22,2017-12-23 06:50:00,2017-12-23 06:50:00,2017-12-23 09:52:00,2017-12-23 09:39:00,0,NA,1598,"Saturday",0,-13
